Year,Country,Type,Happiness_Factor,GDP_per_Capita,Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
2006,Central African Republic,2006,2.693061113,6.599169254,2.693061113,,,,,,,,,
2007,Central African Republic,2007,3.678925514,6.489778709,3.678925514,,,,,,,,,
2008,Central African Republic,2008,4.160129547,6.778674126,4.160129547,,,,,,,,,
2009,Central African Republic,2009,3.563227654,6.560853004,3.563227654,,,,,,,,,
2010,Central African Republic,2010,3.791680813,6.559756279,3.791680813,,,,,,,,,
2011,Central African Republic,2011,3.567892551,6.789778709,3.567892551,,,,,,,,,
2012,Central African Republic,2012,3.677826405,6.803105354,3.677826405,,,,,,,,,
2013,Central African Republic,2013,3.164491177,6.609065056,3.164491177,,,,,,,,,
2014,Central African Republic,2014,2.687552929,6.509065056,2.687552929,,,,,,,,,
2015,Central African Republic,2015,2.904535055,6.699169254,2.904535055,,,,,,,,,
2016,Central African Republic,2016,3.46191287,6.499169254,3.46191287,,,,,,,,,
2006,China,2006,5.32495594,9.561012268,5.32495594,,,,,,,,,
2007,China,2007,4.560495377,8.75777626,4.560495377,,,,,,,,,
2008,China,2008,4.86286211,8.8852911,4.86286211,,,,,,,,,
2009,China,2009,4.84629488,8.972046852,4.84629488,,,,,,,,,
2010,China,2010,4.454360962,9.055391312,4.454360962,,,,,,,,,
2011,China,2011,4.652736664,9.15159893,4.652736664,,,,,,,,,
2012,China,2012,5.037207603,9.237420082,5.037207603,,,,,,,,,
2013,China,2013,5.094917297,9.307193756,5.094917297,,,,,,,,,
2014,China,2014,5.241090298,9.376285553,5.241090298,,,,,,,,,
2015,China,2015,5.195619106,9.441387177,5.195619106,,,,,,,,,
2016,China,2016,5.303877831,9.503029823,5.303877831,,,,,,,,,
2006,India,2006,4.179177284,8.713158607,4.179177284,,,,,,,,,
2007,India,2007,5.348258972,8.148173332,5.348258972,,,,,,,,,
2008,India,2008,5.02679348,8.21572113,5.02679348,,,,,,,,,
2009,India,2009,5.145833015,8.239263535,5.145833015,,,,,,,,,
2010,India,2010,4.521517754,8.306463242,4.521517754,,,,,,,,,
2011,India,2011,4.989277363,8.390390396,4.989277363,,,,,,,,,
2012,India,2012,4.634871483,8.441379547,4.634871483,,,,,,,,,
2013,India,2013,4.720146656,8.483184814,4.720146656,,,,,,,,,
2014,India,2014,4.427788734,8.534950256,4.427788734,,,,,,,,,
2015,India,2015,4.424379349,8.592615128,4.424379349,,,,,,,,,
2016,India,2016,4.342079163,8.653494835,4.342079163,,,,,,,,,
2006,Norway,2006,7.596331596,11.06857204,7.596331596,,,,,,,,,
2007,Norway,2007,7.51893425,10.69011307,7.51893425,,,,,,,,,
2008,Norway,2008,7.415682316,11.0755558,7.415682316,,,,,,,,,
2009,Norway,2009,7.632287502,11.0854578,7.632287502,,,,,,,,,
2010,Norway,2010,7.683358669,10.95721607,7.683358669,,,,,,,,,
2011,Norway,2011,7.770515442,10.96889477,7.770515442,,,,,,,,,
2012,Norway,2012,7.78823185,11.00232338,7.78823185,,,,,,,,,
2014,Norway,2014,7.678277016,11.0606842,7.678277016,,,,,,,,,
2015,Norway,2015,7.444470882,11.06915855,7.444470882,,,,,,,,,
2016,Norway,2016,7.603433609,11.07365322,7.603433609,,,,,,,,,
2006,United States,2006,7.18179369,10.83168602,7.18179369,,,,,,,,,
2007,United States,2007,7.18179369,10.83168602,7.18179369,,,,,,,,,
2008,United States,2008,7.512687683,10.83980465,7.512687683,,,,,,,,,
2009,United States,2009,7.280385971,10.82742596,7.280385971,,,,,,,,,
2010,United States,2010,7.158032417,10.79051113,7.158032417,,,,,,,,,
2011,United States,2011,7.16361618,10.80715561,7.16361618,,,,,,,,,
2012,United States,2012,7.115138531,10.81540489,7.115138531,,,,,,,,,
2013,United States,2013,7.026226997,10.82978344,7.026226997,,,,,,,,,
2014,United States,2014,7.249285221,10.83719444,7.249285221,,,,,,,,,
2015,United States,2015,7.151114464,10.85337543,7.151114464,,,,,,,,,
2016,United States,2016,6.863946915,10.86950111,6.863946915,,,,,,,,,
